emp_no,first_name,last_name,birth_date,title,dept_name
11009,Alper,Axelband,1954-08-30,Senior Staff,Sales
11012,Taegyun,Speckmann,1953-09-12,Staff,Marketing
11012,Taegyun,Speckmann,1953-09-12,Staff,Customer Service
11019,Leon,Huttel,1954-09-06,Senior Engineer,Development
11021,Srinidhi,Henders,1954-07-13,Staff,Research
11031,Ottavia,Walstra,1954-12-20,Senior Staff,Marketing
11037,Lansing,Maliniak,1952-05-22,Senior Engineer,Production
11048,Jaques,Demke,1952-10-26,Senior Staff,Sales
11050,Elvis,Katiyar,1952-09-23,Senior Staff,Marketing
11051,Przemyslawa,Erol,1952-10-06,Senior Engineer,Production
11070,Adib,Raney,1952-06-30,Senior Engineer,Quality Management
11081,Barry,Boyle,1952-06-20,Senior Staff,Finance
11085,Hailing,Thummel,1953-09-08,Senior Engineer,Production
11112,Boaz,Mukaidono,1954-08-05,Staff,Customer Service
11113,Shahab,Peng,1953-04-28,Senior Staff,Marketing
11121,Vugranam,Kakkad,1953-02-13,Senior Engineer,Development
11134,Sachar,Rajcani,1954-05-15,Senior Engineer,Quality Management
11146,Ishfaq,Masand,1954-06-25,Senior Staff,Sales
11148,Zhanqiu,Botman,1953-01-23,Senior Staff,Finance
11148,Zhanqiu,Botman,1953-01-23,Senior Staff,Human Resources
11162,Kauko,Narlikar,1953-03-25,Senior Engineer,Development
11180,Mitsuyuki,Bojadziev,1952-11-07,Senior Engineer,Development
11208,Saniya,Valtorta,1952-05-29,Technique Leader,Production
11211,Yurij,Rissland,1952-12-11,Senior Engineer,Production
11217,Kellie,Mawatari,1954-07-01,Senior Engineer,Production
11249,Randi,Cyre,1954-10-01,Engineer,Development
11268,Aimee,Petersohn,1954-05-14,Senior Engineer,Production
11290,Visit,Dredge,1953-05-07,Engineer,Development
11295,Abdelkader,Lanzelotte,1953-02-03,Senior Staff,Finance
11320,Atilio,McAlpine,1954-04-13,Senior Staff,Marketing
11322,Nathalie,Pocchiola,1952-07-19,Senior Engineer,Quality Management
11324,Kauko,Billingsley,1953-11-16,Senior Engineer,Production
11338,Kwangsub,Hanratty,1954-11-03,Senior Staff,Sales
11339,Flemming,Massonet,1954-06-05,Senior Engineer,Production
11347,Anneli,Jonsson,1954-12-27,Senior Engineer,Development
11365,Toshimi,Shinomoto,1953-11-17,Engineer,Production
11376,Valery,Suomi,1952-03-10,Senior Staff,Research
11380,Kenroku,Pelc,1952-04-23,Senior Engineer,Development
11385,Shiv,Ullian,1952-03-04,Engineer,Production
11386,Alselm,Assaf,1954-09-27,Senior Engineer,Quality Management
11393,Junsik,Junot,1954-05-17,Senior Engineer,Production
11398,Oscar,Peir,1953-05-30,Senior Staff,Finance
11404,Bedrich,Borovoy,1954-09-15,Technique Leader,Development
11415,Sanjiv,Anido,1953-10-29,Engineer,Production
11421,Josyula,Msuda,1953-11-07,Senior Engineer,Production
11441,Marlo,Aingworth,1954-11-16,Senior Staff,Sales
11459,Duke,Suomi,1953-10-14,Senior Staff,Human Resources
11469,Guttorm,Giaccio,1952-12-01,Senior Engineer,Production
11509,Aleksander,Feldhoffer,1954-06-18,Senior Engineer,Development
11513,Otmar,Mahnke,1954-07-16,Senior Staff,Finance
11518,Jinxi,Oxman,1953-07-21,Senior Staff,Human Resources
11527,Alagu,Boyle,1952-02-06,Staff,Marketing
11567,Teiji,Mitzlaff,1954-07-06,Senior Staff,Sales
11603,Herb,Swen,1954-12-07,Senior Staff,Finance
11607,Tomokazu,Foong,1953-12-03,Engineer,Production
11628,Fan,Malinowski,1952-02-14,Senior Engineer,Development
11628,Fan,Malinowski,1952-02-14,Senior Engineer,Research
11640,Valeri,Coorg,1953-10-06,Senior Engineer,Development
11647,Magy,Nitsche,1953-10-13,Senior Engineer,Development
11673,Henk,Felder,1954-12-20,Technique Leader,Production
11676,Valeri,Ferriere,1952-04-12,Engineer,Production
11681,Fumitake,Benzmuller,1952-05-15,Senior Engineer,Production
11684,Oksana,Gide,1953-03-07,Senior Staff,Marketing
11696,Dante,Rothe,1954-10-26,Senior Staff,Sales
11746,Koichi,Marrakchi,1952-05-22,Senior Staff,Sales
11751,Jiafu,Emiris,1953-02-02,Senior Staff,Research
11764,Sanjay,Anick,1953-04-22,Senior Engineer,Production
11769,Chandrasekaran,Lampe,1953-07-17,Senior Staff,Development
11769,Chandrasekaran,Lampe,1953-07-17,Senior Staff,Research
11772,Gaurav,Penz,1954-06-19,Engineer,Development
11797,Chenxi,Thambidurai,1954-08-12,Senior Staff,Marketing
11797,Chenxi,Thambidurai,1954-08-12,Senior Staff,Sales
11810,Amabile,Bhattacharjee,1952-12-08,Senior Engineer,Development
11832,Arto,Zlotek,1952-05-18,Engineer,Development
11844,Shawna,Demeyer,1953-10-30,Senior Engineer,Development
11853,Zeljko,Kusakabe,1952-06-19,Senior Staff,Marketing
11864,Pradeep,Kriebel,1952-06-14,Staff,Customer Service
11871,Nalini,Sommen,1953-05-02,Senior Engineer,Development
11872,Cheong,Riexinger,1953-01-17,Senior Staff,Marketing
11894,Mitchel,Validov,1954-12-23,Senior Engineer,Development
11897,Cordelia,Setlzner,1952-11-23,Senior Staff,Sales
11915,Miomir,Mawatari,1954-08-16,Senior Engineer,Production
11931,Gunilla,Chiodo,1952-10-30,Senior Staff,Research
11933,Basil,Erman,1953-08-15,Senior Engineer,Development
11949,Martijn,Harbusch,1953-01-27,Technique Leader,Production
11983,Jaana,Hedayat,1953-01-04,Senior Engineer,Development
12011,Zhilian,Coorg,1953-12-16,Senior Staff,Sales
12036,Mads,Ratzlaff,1953-03-02,Senior Staff,Marketing
12036,Mads,Ratzlaff,1953-03-02,Senior Staff,Sales
12037,Arunas,Katzenelson,1954-01-11,Senior Staff,Customer Service
12050,Yuchang,Tchuente,1953-06-08,Engineer,Production
12062,Margareta,Worfolk,1954-01-20,Senior Staff,Human Resources
12069,Ayonca,Burnard,1953-12-27,Senior Engineer,Development
12082,Xinan,Yamaashi,1953-09-20,Senior Staff,Sales
12089,Bilhanan,Socorro,1954-06-21,Senior Staff,Human Resources
12099,Nobuyoshi,Kuzuoka,1953-01-12,Senior Staff,Sales
12112,Satyanarayana,Avouris,1953-07-01,Senior Staff,Finance
12122,Satoru,Krone,1954-06-27,Senior Engineer,Production
12123,Xiahua,Syrzycki,1954-07-08,Senior Staff,Research
12125,Shounak,Erman,1953-04-16,Engineer,Production
12125,Shounak,Erman,1953-04-16,Engineer,Development
12149,Suebskul,Grandbois,1954-10-25,Senior Staff,Sales
12165,Xiaobin,Maquelin,1952-11-19,Senior Engineer,Development
12183,Harngdar,Iisaku,1954-06-29,Engineer,Quality Management
12192,Feiyu,Klyachko,1954-11-06,Senior Engineer,Quality Management
12206,Barton,Janetzko,1954-11-21,Senior Engineer,Development
12218,Yaghout,Strooper,1954-08-01,Senior Engineer,Quality Management
12222,Abdelwaheb,Holburn,1953-03-04,Senior Staff,Finance
12223,Niteen,Koyama,1954-07-27,Senior Engineer,Production
12247,Subbu,Penttonen,1952-03-26,Technique Leader,Development
12249,Eldridge,Sadowski,1952-09-20,Senior Engineer,Development
12264,Mart,Pagter,1953-12-30,Engineer,Development
12270,Shakhar,Kornyak,1953-08-10,Senior Staff,Research
12308,Mototsugu,Cronau,1952-02-17,Senior Staff,Finance
12308,Mototsugu,Cronau,1952-02-17,Senior Staff,Human Resources
12327,DAIDA,Bruckman,1952-05-21,Senior Engineer,Development
12343,Sorina,Slaats,1952-10-18,Senior Staff,Production
12343,Sorina,Slaats,1952-10-18,Senior Staff,Customer Service
12365,Kamakshi,Bisiani,1954-01-21,Senior Engineer,Production
12373,Mooi,Driscoll,1953-04-26,Senior Staff,Sales
12411,Shao,Ibel,1952-05-31,Senior Staff,Sales
12422,Berhard,Demos,1954-12-04,Senior Staff,Human Resources
12454,Kerryn,Farris,1954-08-21,Staff,Sales
12475,Filipe,Roison,1953-03-30,Senior Engineer,Development
12487,Mona,Reghbati,1954-04-24,Senior Staff,Finance
12487,Mona,Reghbati,1954-04-24,Senior Staff,Human Resources
12497,Stein,Penz,1953-08-26,Senior Staff,Sales
12501,Morrie,Matheson,1954-11-22,Senior Staff,Finance
12504,Adly,Rosaz,1953-01-04,Engineer,Production
12514,Tomofumi,Melter,1952-11-14,Engineer,Development
12528,Conor,Cincotta,1952-11-20,Senior Staff,Customer Service
12534,Yongmao,Gerlach,1953-01-31,Senior Engineer,Production
12541,Shih,Nanard,1952-04-22,Senior Staff,Sales
12542,Kazuhide,Bouloucos,1954-07-26,Senior Staff,Human Resources
12551,Jeane,Tzvieli,1954-03-15,Senior Engineer,Production
12553,Aral,Vesna,1954-05-08,Senior Staff,Human Resources
12557,Stafford,Kopetz,1954-01-01,Senior Engineer,Production
12557,Stafford,Kopetz,1954-01-01,Senior Engineer,Quality Management
12589,Anoosh,Chleq,1952-11-23,Senior Engineer,Development
12635,Xinyu,Restivo,1952-11-09,Senior Engineer,Production
12635,Xinyu,Restivo,1952-11-09,Senior Engineer,Customer Service
12638,Yuqun,Seiwald,1954-11-09,Engineer,Development
12651,Pragnesh,Bael,1952-07-24,Senior Staff,Sales
12662,Leucio,Alvarado,1952-08-02,Engineer,Development
12663,Nobuyoshi,Stellhorn,1954-10-31,Technique Leader,Development
12664,Zhonghua,Parveen,1952-05-01,Staff,Sales
12664,Zhonghua,Parveen,1952-05-01,Staff,Customer Service
12689,Luerbio,Boudaillier,1953-01-19,Senior Engineer,Development
12691,Oddvar,Gils,1952-10-17,Senior Engineer,Production
12717,Tzu,Jiafu,1953-04-17,Staff,Research
12726,Fumitake,Panwar,1954-03-27,Senior Engineer,Development
12729,Nahla,Rahier,1954-05-18,Senior Engineer,Production
12729,Nahla,Rahier,1954-05-18,Senior Engineer,Customer Service
12731,Yongmao,Waymire,1953-05-09,Senior Staff,Human Resources
12732,Mara,Takanami,1952-09-27,Senior Staff,Sales
12734,Gil,Frijda,1952-03-05,Senior Engineer,Development
12773,Jenwei,Lovengreen,1952-06-26,Senior Engineer,Development
12790,Gunilla,Perl,1953-02-05,Senior Staff,Sales
12795,Masoud,Fordan,1952-05-06,Senior Staff,Finance
12798,Lillian,Beeson,1952-05-18,Senior Staff,Sales
12803,Gad,Boissier,1952-05-12,Senior Staff,Marketing
12803,Gad,Boissier,1952-05-12,Senior Staff,Sales
12819,Mountaz,Gubsky,1953-07-30,Senior Engineer,Production
12848,Kazuhide,Smeets,1953-01-17,Engineer,Development
12863,Leif,Matheson,1954-08-02,Senior Engineer,Production
12872,Marl,Schmittgen,1953-02-18,Senior Staff,Sales
12893,Licheng,Crouzet,1954-10-09,Senior Staff,Sales
12895,Roddy,Serot,1952-04-28,Senior Engineer,Production
12926,Heekeun,Luby,1952-04-24,Senior Staff,Research
12940,Odinaldo,Farrar,1953-10-25,Senior Engineer,Development
12941,Tommaso,Perelgut,1954-07-29,Senior Engineer,Development
12977,Byong,Markovitch,1954-11-29,Senior Engineer,Development
12983,Elliott,Hambrick,1954-04-07,Staff,Finance
13046,Vivian,Stafford,1953-03-09,Senior Staff,Finance
13047,Atilio,Chelton,1953-04-24,Senior Engineer,Development
13076,Deniz,Skafidas,1954-03-09,Engineer,Development
13096,Ibibia,Armand,1953-01-03,Senior Engineer,Quality Management
13103,Srinidhi,Ellozy,1952-05-09,Senior Engineer,Development
13144,Persi,Nollmann,1952-07-11,Senior Staff,Finance
13146,Haldon,Erie,1953-11-01,Senior Staff,Sales
13156,Akeel,Millington,1952-04-19,Senior Engineer,Development
13165,Lucian,Benner,1954-09-09,Senior Engineer,Quality Management
13168,Munir,Stentiford,1954-06-10,Senior Engineer,Production
13171,Anoosh,Birnbaum,1954-12-29,Senior Engineer,Quality Management
13173,Arve,Horswill,1953-04-20,Senior Staff,Sales
13182,Kokou,Rodite,1954-02-25,Engineer,Production
13192,Rosita,Flowers,1953-01-28,Technique Leader,Production
13192,Rosita,Flowers,1953-01-28,Technique Leader,Development
13202,Aram,Scharstein,1953-05-10,Senior Staff,Research
13210,Jianhua,Klassen,1953-06-19,Senior Staff,Marketing
13210,Jianhua,Klassen,1953-06-19,Senior Staff,Sales
13213,Hein,Billawala,1954-12-29,Senior Staff,Sales
13233,Alselm,Chvatal,1954-08-11,Senior Engineer,Development
13238,Ebru,Foote,1953-02-23,Senior Staff,Sales
13250,Zeydy,Schusler,1954-02-20,Senior Engineer,Production
13272,Arun,Jiang,1953-10-11,Senior Staff,Customer Service
13288,Muneo,Broomell,1952-08-24,Senior Staff,Human Resources
13291,Georg,Stamatiou,1952-04-29,Senior Engineer,Development
13302,Mack,Alencar,1954-06-21,Senior Engineer,Development
13332,Nidapan,Pearson,1954-12-02,Senior Engineer,Production
13333,Yoshinari,Hennebert,1953-07-17,Engineer,Production
13333,Yoshinari,Hennebert,1953-07-17,Engineer,Development
13341,Bodh,Doering,1953-06-02,Senior Staff,Marketing
13343,Heon,Usery,1952-04-06,Senior Staff,Finance
13343,Heon,Usery,1952-04-06,Senior Staff,Human Resources
13368,Kiyokazu,Klassen,1953-12-29,Staff,Human Resources
13371,Nakhoon,Riexinger,1954-01-23,Senior Engineer,Production
13373,Juichirou,Naumovich,1954-09-08,Senior Staff,Finance
13373,Juichirou,Naumovich,1954-09-08,Senior Staff,Human Resources
13385,Claudi,Buchter,1954-11-15,Senior Staff,Human Resources
13386,Khosrow,Sgarro,1952-04-27,Technique Leader,Development
13389,Divine,Cmelik,1954-04-26,Senior Staff,Research
13392,Fumitake,Beidas,1953-04-05,Senior Staff,Sales
13396,Chuanyi,Aumann,1952-05-19,Senior Staff,Customer Service
13405,Randy,Baba,1954-01-19,Senior Staff,Sales
13407,Gio,Chenoweth,1954-01-09,Senior Engineer,Production
13408,Sreekrishna,Lagarias,1954-12-27,Senior Engineer,Production
13422,Vishwani,Gerlach,1952-08-20,Senior Engineer,Production
13422,Vishwani,Gerlach,1952-08-20,Senior Engineer,Quality Management
13442,Giordano,Miake,1953-03-14,Senior Staff,Human Resources
13443,Mayuko,Puppo,1954-07-22,Senior Engineer,Quality Management
13445,Renee,Dehkordi,1954-12-22,Engineer,Production
13451,Gretta,Weiland,1952-03-21,Senior Staff,Human Resources
13458,Feipei,Nivat,1954-12-21,Senior Engineer,Production
13458,Feipei,Nivat,1954-12-21,Senior Engineer,Customer Service
13463,Theron,Berstel,1954-08-29,Senior Engineer,Production
13465,Sasan,Rehfuss,1953-11-01,Engineer,Production
13493,Uinam,Jullig,1954-09-08,Senior Engineer,Development
13504,Parto,Mandell,1954-01-09,Engineer,Development
13535,Arunas,Schlenzig,1954-12-25,Senior Engineer,Production
13549,Matk,Koprowski,1952-05-02,Technique Leader,Development
13576,Jungsoon,Engberts,1954-08-05,Senior Staff,Development
13576,Jungsoon,Engberts,1954-08-05,Senior Staff,Research
13605,Dmitry,Encarnacion,1953-08-02,Senior Staff,Sales
13621,Fei,Haddadi,1954-02-28,Engineer,Development
13624,Zhigen,Yurek,1952-12-15,Senior Staff,Human Resources
13629,Dzung,Trelles,1954-09-13,Senior Engineer,Development
13648,Zejun,Lamba,1954-03-28,Technique Leader,Production
13670,Moti,Takanami,1953-05-06,Senior Engineer,Development
13680,Denny,Speer,1953-08-08,Staff,Sales
13685,Weicheng,Hockney,1954-05-02,Senior Engineer,Development
13697,Shuichi,Weedon,1953-04-07,Technique Leader,Development
13721,Sugwoo,Delgrossi,1952-07-01,Senior Staff,Sales
13727,Vitali,Merey,1952-08-13,Staff,Human Resources
13738,Bangqing,Mitchem,1953-02-05,Engineer,Development
13766,Tremaine,Heemskerk,1952-05-03,Senior Staff,Customer Service
13786,Takushi,Berendt,1952-02-27,Senior Staff,Sales
13787,Xiaobin,Sinicrope,1952-08-10,Senior Engineer,Production
13792,Valery,Sury,1953-05-06,Senior Staff,Finance
13796,Paloma,Thorelli,1953-07-02,Engineer,Development
13809,Kiyotoshi,Basagni,1953-07-05,Senior Staff,Customer Service
13815,Guadalupe,Plotkin,1953-04-19,Senior Engineer,Production
13841,Christophe,Spinelli,1952-12-10,Technique Leader,Production
13841,Christophe,Spinelli,1952-12-10,Technique Leader,Quality Management
13842,Juichirou,Cichocki,1954-01-21,Senior Staff,Research
13846,Guiseppe,Welham,1952-08-01,Senior Staff,Research
13853,Mingsen,Roohalamini,1952-03-10,Senior Staff,Research
13859,Anoosh,Fujisawa,1952-08-01,Senior Engineer,Development
13884,Kensei,Swift,1953-05-03,Engineer,Production
13894,Ult,Schonegge,1952-11-15,Engineer,Production
13904,Youngkon,Cairo,1954-02-19,Senior Engineer,Development
13934,Shiv,Bratsberg,1953-11-20,Senior Engineer,Development
13942,Elzbieta,Esteva,1953-04-17,Technique Leader,Development
13951,Mooi,Genther,1953-01-28,Senior Staff,Sales
13960,Nechama,Hettesheimer,1953-01-03,Senior Staff,Finance
13966,Boguslaw,Cooman,1954-01-03,Senior Staff,Customer Service
13969,Jianwen,Chandrasekhar,1953-06-06,Technique Leader,Development
13990,Deborah,Schapiro,1952-03-07,Engineer,Development
13999,Florian,Crouzet,1952-11-25,Senior Staff,Human Resources
14015,Manibrata,Picaronny,1952-06-21,Senior Engineer,Production
14015,Manibrata,Picaronny,1952-06-21,Senior Engineer,Quality Management
14034,Aloys,Seghrouchni,1952-05-07,Senior Staff,Finance
14041,Shan,DeMori,1954-05-09,Senior Staff,Marketing
14088,Mori,Leslie,1953-06-03,Senior Staff,Research
14107,Xiahua,Rindone,1953-01-05,Senior Staff,Marketing
14118,Kasturi,Anido,1953-03-09,Senior Staff,Customer Service
14167,Adas,Hertweck,1953-08-11,Senior Engineer,Production
14191,Jiann,Luby,1952-09-07,Senior Engineer,Development
14220,Tomofumi,Pargas,1952-05-01,Senior Engineer,Production
14232,Masali,Bojadziev,1954-09-19,Senior Engineer,Development
14236,Xuedong,Angiulli,1952-06-14,Senior Staff,Research
14237,Abdulla,Gerlach,1954-10-17,Senior Engineer,Production
14237,Abdulla,Gerlach,1954-10-17,Senior Engineer,Customer Service
14257,Kwok,Massonet,1952-05-07,Staff,Production
14257,Kwok,Massonet,1952-05-07,Staff,Customer Service
14292,Susanna,Vigier,1953-08-21,Senior Staff,Research
14298,Chriss,Granlund,1953-10-02,Senior Engineer,Production
14310,Marlo,Leuchs,1953-06-07,Senior Staff,Sales
14320,Sreenivas,Schaar,1953-06-17,Senior Engineer,Production
14322,Shem,Kakkad,1952-08-14,Engineer,Development
14323,Golgen,Leslie,1952-05-31,Staff,Production
14323,Golgen,Leslie,1952-05-31,Staff,Customer Service
14354,Mong,Bojadziev,1954-05-30,Senior Staff,Sales
14372,Saniya,Srimani,1952-04-15,Engineer,Development
14372,Saniya,Srimani,1952-04-15,Engineer,Research
14384,Tomofumi,Holburn,1954-04-30,Technique Leader,Development
14422,Toshimo,Gadepally,1953-10-09,Senior Engineer,Production
14434,Elvis,Maginnis,1954-07-08,Technique Leader,Development
14439,Raimond,Woycyznski,1953-07-27,Senior Engineer,Quality Management
14478,Munehiro,Boissier,1952-05-01,Senior Staff,Sales
14481,Moti,Lammel,1952-10-30,Senior Engineer,Production
14483,Supot,Marrevee,1954-11-01,Senior Engineer,Development
14486,Indrajit,Birdsall,1952-07-06,Senior Engineer,Production
14498,Xiong,Selenyi,1953-11-03,Senior Staff,Human Resources
14501,Taizo,Kroft,1952-06-11,Technique Leader,Production
14509,Danil,Aloia,1954-09-05,Senior Staff,Finance
14513,Samphel,Barreiro,1953-08-02,Senior Staff,Marketing
14513,Samphel,Barreiro,1953-08-02,Senior Staff,Sales
14515,Kazuhisa,Versino,1952-02-22,Senior Engineer,Quality Management
14537,Babette,Engelmann,1953-12-03,Senior Engineer,Quality Management
14552,Ibibia,Snyers,1953-03-21,Senior Engineer,Development
14556,Fatemeh,Zultner,1954-08-27,Engineer,Production
14560,Elrique,Driscoll,1952-03-15,Senior Engineer,Development
14582,Kiyokazu,Morrin,1954-06-07,Senior Engineer,Development
14600,Jayson,Cairo,1952-12-22,Senior Staff,Customer Service
14603,Lech,Marquardt,1954-11-13,Senior Engineer,Development
14607,Suzette,Selvestrel,1953-06-05,Staff,Sales
14620,Jianhua,Erev,1954-06-15,Senior Engineer,Production
14621,Souichi,Wixon,1953-01-17,Senior Staff,Sales
14639,Arvind,Hempstead,1954-04-03,Senior Staff,Sales
14640,Toshimori,Kornatzky,1952-10-17,Senior Engineer,Development
14659,Sashi,Adachi,1952-11-19,Senior Engineer,Quality Management
14690,Yechezkel,Bellone,1953-11-07,Senior Engineer,Development
14693,Brewster,Stranks,1952-12-08,Senior Staff,Customer Service
14710,Mahmut,Hainaut,1954-06-03,Senior Staff,Marketing
14723,Constantino,Assaf,1953-08-23,Senior Staff,Human Resources
14780,Marlo,Bruckman,1952-09-08,Senior Engineer,Production
14793,Stein,Uchoa,1954-11-11,Engineer,Development
14821,Oguz,Kilgore,1954-12-09,Engineer,Development
14839,Changho,Cronin,1952-09-21,Senior Engineer,Development
14853,Taiji,Nergos,1952-06-30,Senior Engineer,Development
14879,Anyuan,Sigstam,1954-02-18,Senior Engineer,Development
14888,Temple,Barriga,1952-02-14,Senior Staff,Sales
14899,Alejandro,Casley,1954-02-26,Senior Staff,Finance
14899,Alejandro,Casley,1954-02-26,Senior Staff,Sales
14906,Adil,Parveen,1953-01-06,Senior Staff,Research
14908,Kerhong,Flanders,1952-05-27,Senior Engineer,Production
14908,Kerhong,Flanders,1952-05-27,Senior Engineer,Development
14909,Mohan,Kamble,1954-12-31,Senior Engineer,Development
14911,Xiaobin,Chelton,1952-10-20,Senior Engineer,Production
14914,Gretta,Benzaken,1953-04-20,Engineer,Development
14915,Huican,Picco,1952-05-20,Engineer,Production
14923,Shuzo,Gyorkos,1953-10-08,Technique Leader,Development
14941,Nathan,Lichtner,1952-03-21,Senior Engineer,Development
14949,Insup,Reinhart,1952-09-21,Senior Engineer,Production
15005,Kiam,Sadowsky,1954-04-02,Senior Engineer,Production
15016,Woody,Gulik,1953-05-27,Senior Staff,Finance
15018,Ramalingam,Prenel,1954-08-08,Senior Staff,Marketing
15019,Qingxiang,Shokrollahi,1953-07-29,Senior Engineer,Production
15019,Qingxiang,Shokrollahi,1953-07-29,Senior Engineer,Quality Management
15029,Giordano,Koshino,1954-04-08,Senior Staff,Customer Service
15030,Rasikan,Nourani,1954-02-21,Senior Staff,Sales
15036,Ziva,Delgrande,1953-04-22,Senior Engineer,Development
15049,Khun,Waymire,1954-12-23,Senior Staff,Customer Service
15055,Shrikanth,Sherertz,1953-03-26,Senior Staff,Research
15066,Tomokazu,Oaver,1953-06-03,Senior Engineer,Development
15069,Manton,Siksek,1952-12-08,Technique Leader,Production
15071,Ayonca,Couchot,1953-10-31,Senior Staff,Sales
15075,Radoslaw,Rijsenbrij,1952-12-13,Senior Engineer,Production
15077,Toshiki,Taubenfeld,1954-11-29,Senior Engineer,Production
